episode,ignition_row,ignition_col,seed,device,n_ticks,total_reward,mean_reward_per_tick,buildings_destroyed,contained,timeout,first_building_loss_tick,peak_active_fire,final_active_fire,peak_blaze,policy_loss,value_loss,classification_loss,aux_target_loss,entropy,resource_entropy,target_entropy,grad_norm,actions_per_tick,max_actions_tick,noop_ticks,dispatch_attempts,successful_dispatches,wasted_dispatches,unavailable_resource_attempts,unreachable_zone_attempts,mean_response_ticks,mean_traffic_delay_s,traffic_mean_load,traffic_max_load,water_team_dispatches,trench_crew_dispatches,rescue_vehicle_dispatches,helicopter_dispatches,water_team_effect_success,trench_crew_effect_success,rescue_vehicle_effect_success,helicopter_effect_success,rc_fire_extinguished,rc_fire_penalty,rc_dispatch_cost,rc_trench_bonus,rc_buildings_destroyed,rc_travel_delay,rc_wasted,trench_held_total
1,119,440,,cpu,6,-343.5665092509749,-57.26108487516248,0,True,False,,11,0,8,0.1128925879796346,0.019865484481366973,0.33092576762040454,1.732867956161499,1.732867956161499,2.685908397038778,1.732867956161499,,2.5,10,4,15,15,0,0,0,6.333333333333333,103.26959937090791,1.5757351,10.6,3,4,3,5,1,0,0,0,50.0,-20.0,-131.0,0.0,0.0,-212.5665092509749,0.0,0
2,292,427,,cpu,6,-1962.7774212199095,-327.1295702033182,5,True,False,2,9,0,7,-72.3222770690918,81.14172925551732,0.28017642597357434,2.746530612309774,2.746530612309774,2.616647481918335,2.746530612309774,,2.5,10,4,15,15,0,0,0,6.133333333333334,96.94731021365925,1.4354167,10.6,3,4,3,5,2,1,0,0,100.0,-14.0,-131.0,0.0,-1718.8371539115906,-198.94026730831888,0.0,0
3,163,365,,cpu,150,-153844.63116260822,-1025.6308744173882,488,False,True,13,365,365,272,-108.07419073740641,8396.264800027211,0.2867556305726369,0.997341095606486,1.0047203556696573,0.2635304755965869,1.0047203556696573,,0.92,10,78,138,138,0,0,0,7.463768115942029,151.1305595260711,1.9974196,10.6,34,37,26,41,11,10,0,10,1050.0,-12214.0,-1159.0,0.0,-138233.43397676945,-2288.197185838782,0.0,0
4,236,496,,cpu,6,-1039.0354798572669,-173.17257997621115,2,True,False,2,6,0,5,13.976932525634766,6.506424188613892,0.23154194156328836,2.746530612309774,2.746530612309774,2.820548931757609,2.746530612309774,,2.5,10,4,15,15,0,0,0,7.733333333333333,163.32955678422178,2.028404,10.6,3,4,3,5,0,0,0,1,50.0,-8.5,-131.0,0.0,-651.4601051807404,-268.07537467652656,0.0,0
5,285,343,,cpu,7,-582.160479095397,-83.16578272791386,1,True,False,2,13,0,9,10.243626730782646,5.326847008296421,0.21576939736093795,2.35416909626552,2.35416909626552,2.230653405189514,2.35416909626552,,2.142857142857143,10,5,15,15,0,0,0,6.333333333333333,111.51555970250952,1.7892641,9.4,3,4,3,5,1,0,0,1,100.0,-24.5,-131.0,0.0,-294.5672631263733,-212.09321596902367,0.0,0
