episode,ignition_row,ignition_col,seed,device,n_ticks,total_reward,mean_reward_per_tick,buildings_destroyed,contained,timeout,first_building_loss_tick,peak_active_fire,final_active_fire,peak_blaze,policy_loss,value_loss,classification_loss,aux_target_loss,entropy,resource_entropy,target_entropy,grad_norm,actions_per_tick,max_actions_tick,noop_ticks,dispatch_attempts,successful_dispatches,wasted_dispatches,unavailable_resource_attempts,unreachable_zone_attempts,mean_response_ticks,mean_traffic_delay_s,traffic_mean_load,traffic_max_load,water_team_dispatches,trench_crew_dispatches,rescue_vehicle_dispatches,helicopter_dispatches,water_team_effect_success,trench_crew_effect_success,rescue_vehicle_effect_success,helicopter_effect_success,rc_fire_extinguished,rc_fire_penalty,rc_dispatch_cost,rc_trench_bonus,rc_buildings_destroyed,rc_travel_delay,rc_wasted,trench_held_total
14,158,148,,cpu,150,-55511.28803320814,-370.0752535547209,150,False,True,5,397,390,315,0.30524361836879205,0.6225874105893444,2.6403040965398152,0.8401516914367676,0.837330508629481,0.16747071544329326,0.837330508629481,,0.82,10,77,123,123,0,0,0,9.252032520325203,199.75746362918485,2.6409469,8.6,26,32,25,40,10,4,2,19,1450.0,-13715.5,-1061.0,0.0,-38804.55602484313,-2560.232008365008,0.0,0
15,130,119,,cpu,8,-542.0760712636646,-67.75950890795808,0,True,False,,11,0,9,2.853891909122467,1.1123201102018356,2.2013059258461,1.2996509671211243,1.2996509671211243,1.5288545489311218,1.2996509671211243,,1.875,10,6,15,15,0,0,0,13.133333333333333,285.4536187247415,3.0125399,10.6,3,4,3,5,0,0,0,2,100.0,-27.5,-131.0,0.0,0.0,-453.5760712636647,0.0,0
16,297,155,,cpu,7,-754.1613969445733,-107.73734242065333,1,True,False,5,9,0,7,3.241273675646101,0.8857904757772174,1.8625170503343855,1.4853153909955705,1.4853153909955705,2.0907130241394043,1.4853153909955705,,2.142857142857143,10,5,15,15,0,0,0,8.866666666666667,177.0608811653203,2.4503956,10.6,3,4,3,5,1,0,0,0,50.0,-13.5,-131.0,0.0,-303.5719573497772,-306.0894395947961,0.0,0
17,108,492,,cpu,6,-1593.044505508918,-265.5074175848197,4,True,False,2,7,0,5,4.045799334843953,0.6776594420274099,1.543404459953308,2.746530612309774,2.746530612309774,2.4715214570363364,2.746530612309774,,2.5,10,4,15,15,0,0,0,9.466666666666667,201.6194177059053,2.4180958,10.6,3,4,3,5,0,0,0,1,50.0,-9.0,-131.0,0.0,-1158.1627130508423,-324.8817924580758,0.0,0
18,267,245,,cpu,8,-312.755401745186,-39.09442521814825,0,True,False,,17,0,16,2.1083065569400787,0.5612845197319984,1.2498127818107605,1.2996509671211243,1.2996509671211243,1.6143721491098404,1.2996509671211243,,1.875,10,6,15,15,0,0,0,8.133333333333333,159.12679303997797,2.1082458,10.6,3,4,3,5,1,0,0,2,150.0,-31.0,-131.0,0.0,0.0,-270.7554017451861,0.0,0
19,228,361,,cpu,7,-1161.0910876575545,-165.87015537965064,3,True,False,2,11,0,8,2.8297387531825473,0.36462571791240145,0.9889747074672154,2.35416909626552,2.35416909626552,2.3176589693341936,2.35416909626552,,2.142857142857143,10,5,15,15,0,0,0,7.666666666666667,164.4086583557299,2.1562803,10.6,3,4,3,5,1,0,0,2,150.0,-27.0,-131.0,0.0,-896.577376127243,-256.51371153031147,0.0,0
20,176,185,,cpu,150,-134042.98688936798,-893.6199125957866,410,False,True,11,462,462,337,-1.2596115197738011,4.712710625330219,0.8451970473925272,0.36797721942265826,0.3598547422885895,0.25141752044359844,0.3598547422885895,,0.5666666666666667,10,97,85,85,0,0,0,8.270588235294118,156.04810330494723,1.3453251,10.6,16,19,14,36,13,0,0,13,1300.0,-12051.5,-814.0,0.0,-120418.37014257908,-1569.1167467888897,0.0,0
21,43,551,,cpu,24,-4107.704471372521,-171.15435297385503,11,True,False,2,17,0,15,0.9692737857500712,0.24482341824720302,0.59246094028155,1.4656138966480892,1.451185052593549,0.66757965584596,1.451185052593549,,1.1666666666666667,10,15,28,28,0,0,0,8.571428571428571,162.95885781193576,2.6788108,10.6,6,7,5,10,1,2,0,3,200.0,-112.5,-251.0,0.0,-3282.9320788383484,-541.2723925341727,0.0,0
22,292,186,,cpu,6,-2608.4659093252867,-434.7443182208811,7,True,False,2,10,0,8,1.56553053855896,0.13435617834329605,0.4531570126612981,2.746530612309774,2.746530612309774,2.3368187745412192,2.746530612309774,,2.5,10,4,15,15,0,0,0,8.466666666666667,171.77807132600734,2.0395138,10.6,3,4,3,5,1,0,0,0,50.0,-21.5,-131.0,0.0,-2223.289370536804,-282.6765387884824,0.0,0
23,0,519,,cpu,12,-1661.8202148412413,-138.48501790343678,4,True,False,2,8,0,6,0.6630855202674866,0.10739044845104218,0.34983089317878086,1.373265306154887,1.373265306154887,1.165303150812785,1.373265306154887,,1.25,10,10,15,15,0,0,0,9.333333333333334,191.42344522672187,2.9740345,10.6,3,4,3,5,1,1,0,2,150.0,-24.0,-131.0,0.0,-1291.214406490326,-315.6058083509154,0.0,0
