episode,ignition_row,ignition_col,seed,device,n_ticks,total_reward,mean_reward_per_tick,buildings_destroyed,contained,timeout,first_building_loss_tick,peak_active_fire,final_active_fire,peak_blaze,policy_loss,value_loss,classification_loss,aux_target_loss,entropy,resource_entropy,target_entropy,grad_norm,actions_per_tick,max_actions_tick,noop_ticks,dispatch_attempts,successful_dispatches,wasted_dispatches,unavailable_resource_attempts,unreachable_zone_attempts,mean_response_ticks,mean_traffic_delay_s,traffic_mean_load,traffic_max_load,water_team_dispatches,trench_crew_dispatches,rescue_vehicle_dispatches,helicopter_dispatches,water_team_effect_success,trench_crew_effect_success,rescue_vehicle_effect_success,helicopter_effect_success,rc_fire_extinguished,rc_fire_penalty,rc_dispatch_cost,rc_trench_bonus,rc_buildings_destroyed,rc_travel_delay,rc_wasted,trench_held_total
1,119,440,,cpu,6,-333.64941118881904,-55.608235198136505,0,True,False,,11,0,8,0.3025752405325572,0.01615436642896384,15.56362279256185,1.732867956161499,1.732867956161499,2.724757115046183,1.732867956161499,,2.5,10,4,15,15,0,0,0,6.333333333333333,103.5459391637216,1.5133327,10.6,3,4,3,5,1,0,0,0,50.0,-20.0,-131.0,0.0,0.0,-212.649411188819,0.0,0
2,292,427,,cpu,6,-1962.799625606691,-327.1332709344485,5,True,False,2,9,0,7,-65.07825342814128,83.59755926330884,14.800872802734375,2.746530612309774,2.746530612309774,2.094546357790629,2.746530612309774,,2.5,10,4,15,15,0,0,0,6.133333333333334,97.02132483626423,1.4368504,10.6,3,4,3,5,2,1,0,0,100.0,-14.0,-131.0,0.0,-1718.8371539115906,-198.96247169510042,0.0,0
3,163,365,,cpu,150,-99253.08412084793,-661.6872274723195,309,False,True,13,177,57,132,-70.4233019510905,3539.73981046319,14.112803243001302,0.9772652419408162,0.9565178291002909,0.26881998201211293,0.9565178291002909,,0.9133333333333333,10,87,137,137,0,0,0,7.386861313868613,147.91676106104933,1.9965074,10.6,34,37,26,40,14,11,0,9,1150.0,-5320.5,-1144.0,0.0,-90706.60072267056,-2241.9833981773636,0.0,0
4,236,496,,cpu,6,-1039.4086070750081,-173.23476784583468,2,True,False,2,6,0,5,12.169631004333496,5.242249170939128,13.580240408579508,2.746530612309774,2.746530612309774,2.726861834526062,2.746530612309774,,2.5,10,4,15,15,0,0,0,7.733333333333333,164.5733141766928,1.9579729,10.6,3,4,3,5,0,0,0,1,50.0,-8.5,-131.0,0.0,-651.4601051807404,-268.44850189426785,0.0,0
5,285,343,,cpu,7,-592.1496515122294,-84.59280735888991,1,True,False,2,13,0,9,10.710389273507255,4.746832983834403,12.983789852687291,2.35416909626552,2.35416909626552,2.6194094249180386,2.35416909626552,,2.142857142857143,10,5,15,15,0,0,0,6.333333333333333,111.47946775861756,1.7561972,9.4,3,4,3,5,1,0,0,1,100.0,-24.5,-131.0,0.0,-294.5672631263733,-212.08238838585612,0.0,0
