episode,ignition_row,ignition_col,seed,device,n_ticks,total_reward,mean_reward_per_tick,buildings_destroyed,contained,timeout,first_building_loss_tick,peak_active_fire,final_active_fire,peak_blaze,policy_loss,value_loss,classification_loss,aux_target_loss,entropy,resource_entropy,target_entropy,grad_norm,actions_per_tick,max_actions_tick,noop_ticks,dispatch_attempts,successful_dispatches,wasted_dispatches,unavailable_resource_attempts,unreachable_zone_attempts,mean_response_ticks,mean_traffic_delay_s,traffic_mean_load,traffic_max_load,water_team_dispatches,trench_crew_dispatches,rescue_vehicle_dispatches,helicopter_dispatches,water_team_effect_success,trench_crew_effect_success,rescue_vehicle_effect_success,helicopter_effect_success
1,119,440,,cpu,6,-212.59112696886177,-35.431854494810295,0,True,False,,11,0,8,-848.502685546875,9640.669014445797,8.949906508127848,1.732867956161499,1.7328678766886394,0.0,1.7328678766886394,,2.5,10,4,15,15,0,0,0,6.333333333333333,103.35165843053082,1.5359052,10.6,3,4,3,5,1,0,0,0
2,292,427,,cpu,6,-1817.7971652536276,-302.9661942089379,5,True,False,2,9,0,7,-119.41490427652995,203.3203291694323,9.060431480407715,2.746530612309774,2.746530612309774,0.0,2.746530612309774,,2.5,10,4,15,15,0,0,0,6.133333333333334,97.01312365938637,1.3522285,9.4,3,4,3,5,2,1,0,0
