episode,ignition_row,ignition_col,seed,device,n_ticks,total_reward,mean_reward_per_tick,buildings_destroyed,contained,timeout,first_building_loss_tick,peak_active_fire,final_active_fire,peak_blaze,policy_loss,value_loss,classification_loss,aux_target_loss,entropy,resource_entropy,target_entropy,grad_norm,actions_per_tick,max_actions_tick,noop_ticks,dispatch_attempts,successful_dispatches,wasted_dispatches,unavailable_resource_attempts,unreachable_zone_attempts,mean_response_ticks,mean_traffic_delay_s,traffic_mean_load,traffic_max_load,water_team_dispatches,trench_crew_dispatches,rescue_vehicle_dispatches,helicopter_dispatches,water_team_effect_success,trench_crew_effect_success,rescue_vehicle_effect_success,helicopter_effect_success,rc_fire_extinguished,rc_fire_penalty,rc_dispatch_cost,rc_trench_bonus,rc_buildings_destroyed,rc_travel_delay,rc_wasted,trench_held_total
1,119,440,,cpu,6,-343.5827619011257,-57.263793650187615,0,True,False,,11,0,8,-0.7386177976926168,0.01686727503935496,4.195006052652995,1.732867956161499,1.732867956161499,2.6289596557617188,1.732867956161499,,2.5,10,4,15,15,0,0,0,6.333333333333333,103.32377487141065,1.6225952,10.6,3,4,3,5,1,0,0,0,50.0,-20.0,-131.0,0.0,0.0,-212.5827619011257,0.0,0
2,292,427,,cpu,7,-1993.7989686391834,-284.8284240913119,5,True,False,2,9,0,7,-61.5146974836077,69.52087538582938,3.214747599193028,2.35416909626552,2.3541692325047086,2.2304908548082625,2.3541692325047086,,2.142857142857143,10,5,15,15,0,0,0,6.133333333333334,97.01913494457241,1.5792961,10.6,3,4,3,5,2,0,0,0,100.0,-15.0,-131.0,0.0,-1718.8371539115906,-198.96181472759287,0.0,0
3,163,365,,cpu,150,-71567.56559012724,-477.1171039341816,220,False,True,13,118,37,93,-46.21416452407837,1842.737751520276,2.3581422122319537,0.9553203622500102,0.8956921752293905,0.2582709866762161,0.8956921752293905,,0.9133333333333333,10,73,137,137,0,0,0,7.416058394160584,152.17898898567907,2.0011604,10.6,34,37,26,40,22,14,3,9,1550.0,-4403.5,-1144.0,0.0,-64461.75716235597,-2268.3084277712696,0.0,0
