episode,device,n_ticks,ignition_row,ignition_col,reward,shaped_reward_total,buildings_destroyed,contained,timeout,policy_loss,value_loss,classification_loss,entropy,is_anchor,approx_kl_first_epoch,approx_kl_last_epoch,epochs_run,minibatches_run,early_stopped,stop_reason,value_grad_norm,other_grad_norm,wall_time_s
1,mps,150,165,455,-135079.86366782789,0.0,466,False,True,-0.0025322556495666502,3744.590702018738,0.07445176588992278,4.418032272656759,False,0.0,0.007854259808858236,1,10,False,,1927.84716796875,4078.25,25.822802624985343
2,mps,5,289,332,-647.548641518749,0.0,2,True,False,8.940696716308593e-09,4.0943207263946535,0.021998060494661333,4.202161502838135,False,0.0,-0.007280302047729492,1,1,False,,97.60653686523438,121.0146484375,0.34046220901655033
3,mps,150,118,388,-49033.903197011074,0.0,183,False,True,0.005449226287504037,38.7056853222847,0.08099933531135321,4.430494769414266,False,0.0,0.0254403018951416,1,10,False,,350.0682373046875,751.6384887695312,26.769483332987875
4,mps,132,224,433,-99831.55135673113,0.0,309,True,False,0.000651305682505622,317.50211768744117,0.040320416249221926,4.391401039831566,False,0.0,0.01888586174358021,1,9,False,,548.9312133789062,1151.62353515625,21.00683649998973
5,mps,26,247,478,-4696.037921396423,0.0,13,True,False,-0.0018127764790103985,6.512532517313957,0.011652221688284324,4.435133292124822,False,0.0,0.0022370540178739107,1,2,False,,235.03794860839844,476.1491394042969,1.756608249997953
6,mps,7,285,419,-2101.599401691373,0.0,6,True,False,8.514949253627232e-09,6.571309396198818,0.009880320035985537,4.185478551047189,False,0.0,-0.001859903335571289,1,1,False,,179.05409240722656,294.9678955078125,0.3682520000147633
7,mps,5,207,222,-8.202301687925235,0.0,0,True,False,-8.940696716308593e-09,0.8659989595413208,0.010178878530859947,4.1632256507873535,True,0.0,-0.0023652076721191405,1,1,False,,49.615013122558594,94.56265258789062,0.2579499169951305
8,mps,150,290,529,-162346.431349997,0.0,438,False,True,-0.014748918139375747,687.9461959712207,0.0666871392975251,4.372776885032653,False,0.0,0.028154951731363932,1,10,False,,2089.612548828125,4929.66552734375,26.42142779097776
9,mps,150,87,502,-175265.28979952994,0.0,604,False,True,0.005866608407037953,873.6119729296366,0.10446826061544319,4.255214247703552,False,0.0,0.025459737777709962,1,10,False,,2142.6298828125,4855.13232421875,25.90569916702225
10,mps,150,99,470,-115536.44272357834,0.0,391,False,True,-0.07619313479517587,252.1786616693092,0.08692877439413375,4.067339946826299,False,0.0,0.038572869300842284,0,6,True,kl,2148.292724609375,5933.35400390625,17.77240787501796
11,mps,8,256,468,-2056.732900971643,0.0,6,True,False,-1.1175870895385742e-08,0.39728148421272635,0.003935292916139588,3.839047998189926,False,0.0,-0.02051958441734314,1,1,False,,50.2445068359375,178.99246215820312,0.4687706670083571
12,mps,150,97,451,-97257.97744231066,0.0,329,False,True,0.10510482271092769,179.28950732946396,0.07718153807218187,3.862474299967289,False,0.0,0.036629498799641926,0,4,True,kl,3439.6240234375,9064.4384765625,13.54578812501859
13,mps,150,109,453,-187079.79220852285,0.0,654,False,True,-0.09023365989144493,421.8319179138967,0.13279624776623677,3.634595370718411,False,0.0,0.03588465213775635,0,7,True,kl,9912.1806640625,24343.45703125,19.889634499995736
14,mps,150,207,222,-122081.59028774049,0.0,404,False,True,0.006053433173025648,273.51588484771315,0.08769565561786294,3.2105806175867717,True,0.0,0.038469978968302405,0,10,True,kl,3994.51904296875,11142.244140625,26.922520541003905
15,mps,150,186,544,-80951.52957486037,0.0,267,False,True,0.005778741528047249,53.79721028109392,0.11343020891824078,2.7334653387467065,False,0.0,0.030420145988464355,0,6,True,kl,4169.46875,13136.1181640625,18.17288720898796
16,mps,7,307,470,-70.0,0.0,0,True,False,0.0,43.03306933811733,0.0015056841906958393,2.2129359585898265,False,0.0,0.006470339638846261,1,1,False,,1905.668701171875,6739.16015625,0.5080674159980845
17,mps,37,301,427,-30190.22072744124,0.0,85,True,False,0.006940574448152974,89.97174722560354,0.007777838882788815,2.190903057923188,False,0.0,0.013479774062697953,1,3,False,,772.7367553710938,2647.139892578125,2.656511875014985
18,mps,150,182,455,-128537.66245180671,0.0,433,False,True,0.09673815253190696,265.89129268623657,0.06357735748315463,2.175541390478611,False,0.0,0.0396998389561971,0,5,True,kl,13524.94140625,42847.83203125,16.72203116698074
19,mps,150,58,475,-113191.77193109636,0.0,382,False,True,0.055296132049988955,265.35984671115875,0.06670089811450453,1.9086107779294252,False,0.0,0.031442545255025225,0,4,True,kl,9326.95703125,32875.28515625,13.684479957999429
20,mps,150,177,511,-57509.96812774635,0.0,190,False,True,0.05847729261343678,20.756169503891897,0.04075714277375179,1.6447193548083305,False,0.0,0.03593608856201172,0,3,True,kl,4310.5029296875,16026.4931640625,11.263671833992703
21,mps,150,207,222,-143874.72541878052,0.0,465,False,True,0.02049880983152737,416.8624258343286,0.13690644908395674,1.3784895179172356,True,0.0,0.04798384825388591,0,6,True,kl,17850.03125,63481.67578125,18.58251399997971
22,mps,150,101,98,-2456.6004625729083,0.0,1,False,True,-0.006236227254072825,22.014119165887436,0.0977941623625035,1.0012614484628042,False,0.0,0.010781666437784831,1,10,False,,2116.933349609375,7962.41845703125,27.671351957978914
23,mps,150,35,541,-82153.484424493,0.0,271,False,True,0.0017954936043436949,48.991600280602775,0.1667147682645979,1.0066361129283905,False,0.0,5.970001220703125e-05,1,10,False,,4215.9794921875,16023.7724609375,26.18045358400559
24,mps,150,235,321,-125397.88883412254,0.0,415,False,True,0.029771629276995858,293.4694929881891,0.19906160244019702,0.6972414702177048,False,0.0,0.03579368273417155,0,10,True,kl,9253.3447265625,34043.26953125,26.885657917009667
25,mps,9,314,380,-1689.0100313997207,0.0,5,True,False,4.13921144273546e-10,548.3177015516493,0.0013777578844585353,0.49508898456891376,False,0.0,-0.0015544891357421875,1,1,False,,25419.146484375,104182.0859375,0.4732140419946518
26,mps,150,73,445,-61977.75563978695,0.0,223,False,True,0.052952888155622144,46.01558009119305,0.21844297688845213,0.36449744725333794,False,0.0,0.030886287689208983,0,7,True,kl,7933.16796875,32727.4296875,20.76995604200056
27,mps,28,3,480,-6653.727864017609,0.0,20,True,False,2.7571006544998715e-05,403.0633805138724,0.003938109356178237,0.3000570610165596,False,0.0,0.0011605194636753627,1,2,False,,28929.197265625,116775.6328125,2.0342212499817833
28,mps,150,207,222,-114098.52751997803,0.0,375,False,True,-0.003392781273772319,158.2334815119455,0.2078965252963826,0.2589714431762695,True,0.0,0.028409137725830078,1,10,False,,10478.9208984375,39480.33984375,27.327202624990605
29,mps,150,269,234,-98090.09735905865,0.0,301,False,True,0.00828494609023134,43.032614549606414,0.09138147665575767,0.14759749591350554,False,0.0,0.01007208506266276,1,10,False,,3808.343017578125,15718.150390625,26.893727999995463
30,mps,150,156,170,-128129.16266694012,0.0,435,False,True,-0.0023897413164377214,140.3811143681213,0.36983085352772227,0.12655309731761613,False,0.0,0.0050431187947591145,1,10,False,,5905.5166015625,24675.298828125,26.92845574999228
31,mps,150,152,378,-106262.41664482103,0.0,370,False,True,0.002707041905572017,153.10930941128638,0.35939088647253814,0.07709440591434638,False,0.0,-0.0022041829427083335,1,10,False,,6939.93896484375,28807.564453125,26.853366666997317
32,mps,33,190,207,-11735.627848428594,0.0,37,True,False,0.002455413920071089,1218.8104918508818,0.00998741888554033,0.10002321095177621,False,0.0,-0.0069688161214192705,1,3,False,,2913.625244140625,12831.2177734375,2.694354207982542
33,mps,150,34,579,-40112.653826737864,0.0,121,False,True,0.0017040091999418413,26.46509170898547,0.14802085276305055,0.12611990228295325,False,0.0,0.015878067016601563,1,10,False,,2788.245361328125,11982.4814453125,27.250896334007848
34,mps,5,22,451,-1657.569975526722,0.0,5,True,False,-2.9802322387695314e-09,2451.97568359375,0.0020550977904349567,0.24035797119140626,False,0.0,-0.00533294677734375,1,1,False,,56704.6171875,241112.625,0.2821590829989873
35,mps,150,207,222,-108655.29991622083,0.0,357,False,True,0.002921816116819779,122.15377931588718,0.1997189138829708,0.1602642820775509,True,0.0,0.009477577209472655,1,10,False,,2830.057861328125,12221.91796875,26.502820749999955
36,mps,15,309,274,-7993.470258324861,0.0,23,True,False,2.2351741790771484e-09,1764.3959879557292,0.0023364220823471745,0.17186257739861807,False,0.0,0.0012738545735677083,1,1,False,,151915.015625,653182.875,0.8467997499974445
37,mps,27,291,504,-11818.80610107434,0.0,30,True,False,0.0006372946555967684,1319.7537977430557,0.005013292724335635,0.1569292727443907,False,0.0,-8.265177408854166e-06,1,2,False,,92396.703125,396225.5625,1.6442157499841414
38,mps,150,230,222,-176014.74225726177,0.0,565,False,True,-0.0005375797829280296,248.91923492878675,0.25466234118212017,0.1093739347656568,False,0.0,-0.006708908081054688,1,10,False,,1564.4871826171875,7136.51708984375,24.77306295800372
39,mps,150,218,191,-130374.23225534902,0.0,438,False,True,-0.0017205963159600893,76.54845104745279,0.1514086230052635,0.06232744351029396,False,0.0,-0.0009915415445963542,1,10,False,,4041.090087890625,17624.2265625,26.088203749997774
40,mps,102,238,531,-55863.48693766142,0.0,166,True,False,0.0013244095459288242,689.6510951721855,0.03859048104256063,0.05640570823030144,False,0.0,-0.006483003204944087,1,7,False,,4994.4873046875,21201.966796875,13.300200333003886
41,mps,150,207,170,-125229.4357766007,0.0,427,False,True,-0.0005843907672291001,110.9950405280913,0.15123165864264593,0.06603371178110441,False,0.0,-0.0009066390991210937,1,10,False,,7359.24365234375,29939.03515625,24.23242049998953
42,mps,150,207,222,-149540.11509908186,0.0,487,False,True,0.0012161497461299102,170.68584638659067,0.3464275965606794,0.04275545825560888,True,0.0,-0.0007028325398763021,1,10,False,,2108.61767578125,9245.4970703125,26.667448708001757
43,mps,150,278,171,-60787.28438522862,0.0,193,False,True,0.00594401181054612,30.51800779122859,0.09818484197525928,0.050662490092217925,False,0.0,-0.0009950002034505208,1,10,False,,5459.96337890625,22769.4375,27.28228512502392
44,mps,34,174,165,-12148.270855930561,0.0,39,True,False,-2.7629053767989663e-05,1820.753994212431,0.004803148875533438,0.0880098345086855,False,0.0,0.001137565164005055,1,3,False,,17889.099609375,75724.65625,2.568153458996676
45,mps,38,295,420,-11399.368180654892,0.0,32,True,False,0.0004064449075437886,1586.5376293784693,0.003321589071818284,0.0940931772715167,False,0.0,-0.0029202511436060854,1,3,False,,41722.94140625,176320.578125,2.8969784999790136
46,mps,150,165,371,-95484.06963255451,0.0,318,False,True,-0.00046545981119076413,109.29641526322811,0.20022432363747308,0.09818830410639445,False,0.0,0.0010893885294596354,1,10,False,,13409.181640625,54831.11328125,24.700822916987818
47,mps,150,182,400,-167769.4836249045,0.0,551,False,True,-0.004280636968712012,254.63067645190634,0.3091703747725114,0.06573916284988324,False,0.0,0.01612096150716146,1,10,False,,1396.6502685546875,3890.802978515625,26.950103041017428
48,mps,150,264,331,-95147.260111087,0.0,322,False,True,-0.0013759291792909305,109.1318449259301,0.1284161430519695,0.034794014332195124,False,0.0,-0.0035796229044596354,1,10,False,,11915.3466796875,49166.50390625,26.703077875019517
49,mps,150,207,222,-143596.1293837075,0.0,465,False,True,0.0010045877906183403,146.7803301193565,0.3552902784214045,0.04137389414012432,True,0.0,0.0001842498779296875,1,10,False,,3766.28369140625,14723.078125,26.319784583
50,mps,150,279,545,-159669.53343940724,0.0,436,False,True,-9.030602251489957e-05,214.73355110953253,0.19052913135150448,0.02681714691221714,False,0.0,-0.0025382741292317708,1,10,False,,11733.33984375,49840.24609375,26.585150500002783
