episode,device,n_ticks,reward,buildings_destroyed,contained,policy_loss,value_loss,classification_loss,entropy,resource_entropy,zone_entropy,value_grad_norm,other_grad_norm,epochs_run,minibatches_run,early_stopped,stop_reason,adv_mean,adv_std,adv_mean_last,adv_std_last,adv_mc_mean,adv_mc_std,sign_agreement_first,sign_agreement_last,wall_time_s
1,mps,5,-9.974434995220555,0,True,-1.1920928955078126e-08,107.75449199676514,0.013107073865830899,4.650465869903565,1.3527166604995728,3.2977492809295654,163.06463623046875,191.90786743164062,1,1,False,,-1.1102230246251566e-17,0.9999999989354732,-1.1102230246251566e-17,0.9999999989354732,8.015667598895849,18.37734776763901,1.0,1.0,0.6805247080046684
2,mps,150,-139654.5442857989,452,False,0.08261369203838209,16075.991098066967,0.11688271404709667,4.185270706812541,1.3037965933481852,3.1387000195185344,20414.603515625,28898.458984375,1,10,False,,5.555379651670892e-17,0.9999999998075652,-1.692396223162973e-16,0.9999999998101128,-3229.8450787349466,1230.1852326950143,0.6066666666666667,0.6,18.343569749995368
3,mps,16,-180.34245865660176,0,True,-9.313225746154785e-09,9.85873806476593,0.002813646598951891,2.7326275259256363,0.7204082496464252,2.01221926510334,1935.4189453125,3139.2421875,1,1,False,,1.2576745200831851e-16,0.9999999893978424,1.2576745200831851e-16,0.9999999893978424,6.6845277321670675,0.24534453378549526,0.4375,0.4375,0.886754542007111
4,mps,150,-161397.98615479242,526,False,0.15720135046431097,427.98625455137966,0.3011010971975823,1.695252620478471,0.7261619885762532,1.9007340168952942,5395.1259765625,10707.947265625,1,10,False,,-3.6680727899529585e-17,0.9999999991553407,4.493512043938589e-17,0.9999999993521638,8.004827129097652,3.236944154260223,0.42,0.47333333333333333,16.47144766600104
5,mps,150,-133497.39208483062,435,False,-0.01729641386374355,349.6181176898384,0.6148923064628616,0.013868690352343265,0.0028954534201572337,0.11378855216006438,73148.015625,130889.3359375,1,10,False,,-2.1957262397176437e-17,0.9999999990613877,-6.684467794097297e-18,0.9999999994002385,64.87326795308928,4.809067038519853,0.54,0.5733333333333334,16.43509791602264
6,mps,150,-144207.78144859633,471,False,-0.02487578520551324,215.9606754649182,0.455215785705174,0.0014253005181672051,5.948763552320694e-06,4.972156253302273e-07,32420.744140625,53255.11328125,1,10,False,,-2.717787655805622e-17,0.9999999991218164,-7.123931074678087e-18,0.999999999240912,132.8823461862994,6.801344658791229,0.4666666666666667,0.48,16.036793541017687
7,mps,150,-125555.24334275085,422,False,-0.008260523031155268,115.57529652650312,0.46180170599681636,0.012143593595828861,0.0027784645549642543,4.616110216981421e-05,2215.736572265625,4062.82275390625,1,10,False,,-1.1703601051256859e-17,0.9999999988199734,1.8272420613622366e-18,0.9999999988966022,116.35206736379175,8.973901843389136,0.4266666666666667,0.44,16.022014916990884
8,mps,150,-118111.39639253684,393,False,0.006292011328041553,158.69494621783844,0.2661176319125419,0.05632385344089319,0.09292531174918016,0.004092524184379727,2284.51123046875,3470.82177734375,1,10,False,,-9.321247477582043e-18,0.9999999991421901,2.105954299835844e-17,0.9999999991798898,95.80216935210125,10.065130775495362,0.5333333333333333,0.52,16.593215875007445
9,mps,150,-101537.30990850288,340,False,-0.001129800925652186,98.93540208319823,0.3631909926282242,0.0015141583397053182,0.0034269958769436925,0.0002704288218713676,5554.58544921875,8918.68359375,1,10,False,,-8.651933336434325e-18,0.9999999989460706,2.843790018284646e-17,0.9999999988929237,98.54166084210235,12.852510101094158,0.62,0.6266666666666667,18.789030459010974
10,mps,150,-101047.12318145591,329,False,0.0016645580219725768,81.17068188150724,0.18995121077944835,0.002988801639682303,0.0015976520662661642,0.0018586749067374816,2462.24658203125,3291.45166015625,1,10,False,,2.0122792321330962e-17,0.9999999989025539,-2.516505522483688e-17,0.999999998872467,88.07018403438084,11.633417037766169,0.5066666666666667,0.5066666666666667,18.24249033399974
11,mps,150,-138812.4303456481,458,False,0.005707221503059069,129.94502819503347,0.24684200385274987,0.0010113553486492796,0.0011658075692442557,0.0017826220765709876,11846.736328125,19365.849609375,1,10,False,,3.3277778680821748e-18,0.9999999990669961,-4.9439619065339e-17,0.9999999992083869,89.05776141307041,12.422753851666506,0.4866666666666667,0.54,19.643108292017132
12,mps,150,-97565.75778090315,319,False,0.003819455105500917,135.85009469137216,0.21007472658064216,0.0025587845339032356,4.757122553807373e-05,1.687195942698357e-05,7961.90966796875,11642.8798828125,1,10,False,,-5.777785657320085e-17,0.9999999989556142,-2.990952393163345e-17,0.9999999992103202,129.2853745310377,16.158904647526946,0.54,0.68,18.64852408299339
13,mps,150,-89599.10324925178,297,False,0.0009017706910769144,92.755953288426,0.1199039793945849,0.03273894160753116,0.0013413679114698122,0.04029866782327493,7476.81103515625,11649.833984375,1,10,False,,-9.113080660464826e-18,0.999999998989992,-1.0633854907737827e-17,0.9999999989385954,84.54929538517473,17.409332530296755,0.5933333333333334,0.6,18.111321249976754
14,mps,150,-110482.8717615541,366,False,0.00034375234041363,123.89994717374444,0.16321500787821908,0.0005238610335315268,0.00027045782626373694,0.001176242443228451,23474.267578125,37774.2734375,1,10,False,,3.343390379365966e-17,0.9999999991179257,-1.61907524424502e-19,0.9999999991028166,95.23330210624205,16.29657600225022,0.6066666666666667,0.62,18.44805954201729
15,mps,150,-107856.38723038988,351,False,-0.0006436821756263574,64.31867890557274,0.10029153157956898,0.00012895949672383722,0.00016565513669471936,3.578376069829877e-05,15778.740234375,27165.353515625,1,10,False,,1.4311468676808658e-18,0.999999998772586,6.5803843855386884e-18,0.9999999986743159,111.6792346703409,15.884266279254716,0.6333333333333333,0.6133333333333333,18.992417582980124
