episode,zone_logit_corr_flat,zone_logit_corr_per_obs_mean
50,0.21347034576968577,0.2764635335816599
100,0.26306714591554387,0.262305134591304
150,0.2646873350477072,0.28271067629657015
200,0.21405962281110258,0.22567360185941213
250,0.20252664232512532,0.20928472094719608
300,0.2882451654599672,0.271163897601854
350,0.18124208671406583,0.17490472691986547
400,0.24295101499694863,0.22026473601657334
450,0.0917661309598936,0.09290965007389454
500,0.06689348075982748,0.06457883511162692
550,0.23825563995070392,0.2135928877473999
600,0.17659673790144476,0.19134103415240772
650,0.2656783493425939,0.25119089808177386
700,0.3174798763232128,0.2937855267471388
750,0.09526051895640002,0.09159891964480875
800,0.33413902489398595,0.3057661261621192
850,0.41148657945933137,0.3569564987379514
900,0.3069963327657963,0.27674303411376117
950,0.39125869085375753,0.34456136768169116
1000,0.08977840121712552,0.08098346934675923
1050,0.18372874793660485,0.16205081257141213
1100,0.10515505184016324,0.10169218519200988
