episode,device,n_ticks,reward,buildings_destroyed,contained,policy_loss,value_loss,classification_loss,entropy,resource_entropy,zone_entropy,value_grad_norm,other_grad_norm,wall_time_s
1,mps,150,-68101.69851807095,227,False,-131907.25002604167,1021658322.2816666,17.907557754516603,4.370710283915201,1.1475921360651653,3.2231181542078655,65209976.0,141718592.0,7.2313025839976035
2,mps,150,-153756.21256193772,499,False,-13.541147507230441,18.69694206201316,18.367589530944823,4.3807026402155556,1.1206613262494405,3.2600413179397583,3449.251953125,18477.052734375,6.506102625018684
3,mps,16,-221.97477161615373,0,True,13.479120373725891,8.000567615032196,16.189392566680908,4.699535489082336,1.2699017152190208,3.42963370680809,273.9136657714844,2198.884765625,0.7301464169868268
4,mps,150,-140968.79451266173,459,False,6.654586878580352,5.979442247989549,13.346014614105224,4.313475929896037,1.0501540044943491,3.26332194964091,6798.00244140625,22079.650390625,6.480839291994926
5,mps,150,-123635.37676515648,409,False,8.113171808719635,7.680501766925056,10.520086339314778,4.316934752464294,1.0507401573657988,3.2661945962905885,7735.04248046875,22521.376953125,6.625151874992298
6,mps,150,-144848.94747160847,471,False,5.68273009079198,4.811136200593513,7.758451805114746,4.332893524169922,1.0631642909844716,3.2697292232513426,5688.2763671875,19351.650390625,6.112624458997743
7,mps,150,-136710.6288937095,457,False,5.1819703912354695,3.6437854377458994,5.16884139696757,4.357621661822001,1.085380292336146,3.2722413635253904,4953.74169921875,16875.13671875,6.5034525000082795
8,mps,150,-131012.28579995355,429,False,4.31699454707404,2.508667012898768,3.2884876569112143,4.375167400042216,1.1011999158064525,3.2739674933751424,3674.0146484375,15615.7705078125,6.321115083002951
9,mps,150,-102561.6973198042,337,False,5.721318790713946,3.2470494177378715,1.716469251314799,4.393600683212281,1.1175061031182607,3.2760945892333986,4565.650390625,14863.669921875,6.296082957996987
10,mps,150,-78504.13027361623,255,False,5.4418169752756755,1.7375312605500222,0.557442296743393,4.4102154080073035,1.1320720561345419,3.278143343925476,2739.396484375,7059.314453125,6.466642125014914
11,mps,150,-140136.404375466,459,False,-1.0575670638152708,0.9408971723571362,0.25324309229850767,4.4281103165944415,1.152838470141093,3.2752718432744343,256.3238525390625,1182.81396484375,5.954861500009429
12,mps,150,-109842.11527972738,361,False,0.8238721010647714,0.6069256187510412,0.18851144408186277,4.4497288783391316,1.1728644053141275,3.276864457130432,493.10858154296875,1016.1956787109375,6.042544208001345
13,mps,150,-113335.11412378863,374,False,-0.32817979296048483,0.6956269354542989,0.20444903115431468,4.480419214566549,1.2033003993829092,3.277118813196818,134.38136291503906,566.6990966796875,6.055352124996716
14,mps,150,-109987.61477295584,364,False,-1.2802970954279105,0.7706069430663531,0.24138327327867348,4.508737192153931,1.2344828271865844,3.2742543506622312,1096.2979736328125,2016.7186279296875,6.5506193340115715
15,mps,150,-95617.91978959848,312,False,-0.2009828597617646,0.38781811407922456,0.19422954482336838,4.525521637598674,1.2517902874946594,3.273731362024943,478.77587890625,954.7553100585938,6.04189774999395
16,mps,150,-105353.43731765587,351,False,-1.3949407628426949,0.627169562025944,0.21319135554134847,4.5297518126169845,1.2589166108767191,3.270835216840108,1192.9754638671875,2066.042724609375,6.346873166010482
17,mps,150,-93460.4104251975,307,False,0.06475514155967782,0.5432641117067033,0.25109840718408427,4.5322638003031415,1.262180962562561,3.270082836151123,274.3904724121094,851.1658325195312,6.2102022919862065
18,mps,150,-100885.70133059382,336,False,-0.5331393820792436,0.46846987076891916,0.2418368082990249,4.529160451889038,1.258707660039266,3.2704527870814006,120.95289611816406,517.5042724609375,6.250510791986017
19,mps,150,-83808.76181958901,273,False,1.0983972080300253,0.47928034154157406,0.21710773726304372,4.528894233703613,1.2571593308448792,3.271734913190206,344.69451904296875,740.7352905273438,6.247464334010147
20,mps,150,-121359.51782461723,407,False,-2.0963002955789367,0.9893989177061303,0.2039190694813927,4.514474751154582,1.2490338293711345,3.2654409265518187,492.6072082519531,1016.4103393554688,6.149036999995587
