episode,device,n_ticks,reward,buildings_destroyed,contained,policy_loss,value_loss,classification_loss,entropy,resource_entropy,zone_entropy,value_grad_norm,other_grad_norm,epochs_run,minibatches_run,early_stopped,stop_reason,adv_mean,adv_std,adv_mc_mean,adv_mc_std,wall_time_s
1,mps,150,-95535.83559461645,310,False,-638.28276512146,21528.89855239868,0.05902766094853481,4.4411883560816445,1.2965721456209818,3.1446162033081055,268354.0625,502764.90625,1,1,False,,-143.41164106714157,31.016122130201364,-42023.70793265588,15827.097327479105,6.656877625006018
2,mps,150,-152607.58077424375,499,False,-101.05116594314575,684.7188169813156,0.06859783701598644,4.431485433578491,1.293003556728363,3.1384818935394287,55418.765625,113271.2109375,1,1,False,,-22.171804355739855,13.897119003444057,-0.6470371449971808,1.156605295926405,6.545946458994877
3,mps,16,-244.4989677393001,0,True,-1.162907489167992,0.13196128597135726,0.017187330115120858,4.473979741334915,1.3022355660796165,3.171744152903557,45.08445739746094,68.59851837158203,1,1,False,,-0.26988553882242344,0.24315238765272465,2.0772572662811526,0.2314051056411424,0.6492168749973644
4,mps,150,-122106.51312331544,402,False,-66.50404748916625,298.79957683404285,0.0808730365180721,4.328288022677103,1.2598350636164348,3.0684529685974122,40949.68359375,68587.375,1,1,False,,-15.044310288337638,8.512831861020352,1.9576080463535261,1.4234920427114892,6.282742125011282
5,mps,150,-155533.52110416547,500,False,-82.29472636858623,541.2415721678734,0.08897052410524338,4.215434867540996,1.2276626229286194,2.987772262891134,62217.7265625,92953.5703125,1,1,False,,-19.441776850052754,12.777279876472054,1.839105462622454,1.7978472359019289,6.512268332997337
6,mps,7,-24.91152199157809,0,True,1.1040746143886022,0.17150572580950602,0.0034796890935727526,3.916133097239903,1.0531402656010218,2.862992831638881,49.18624496459961,84.07040405273438,1,1,False,,0.3933038519570783,0.12968350507421908,2.674701039076648,0.07106533311496914,0.2754434589878656
7,mps,5,-3.5413374525794126,0,True,2.668116307258606,0.3459403604269028,0.0036927967797964812,3.551394748687744,0.8539614200592041,2.69743332862854,61.79655075073242,140.70838928222656,1,1,False,,0.5802775956585867,0.09601180121997839,2.772943457458062,0.040481862687472274,0.19149833300616592
8,mps,150,-151397.95607614392,499,False,-63.43172545750936,514.8337849577268,0.12469647475363066,3.6294211689631144,1.0017428239186605,2.627678351402283,79142.2578125,100592.6796875,1,1,False,,-17.703924495675114,14.191717792316888,3.326562930583346,2.437233085503509,6.243934749974869
9,mps,150,-121652.72916729655,399,False,-46.79587168614069,303.30637730836867,0.11994875972314427,3.4331630007425944,0.9303834903240203,2.502779503663381,65148.5,83758.0859375,1,1,False,,-13.540295078914486,10.952935120938612,4.2699217653193875,2.5382958059024054,6.364088166010333
10,mps,150,-76882.80321611502,253,False,-26.548973461786908,110.77812335565686,0.0886830272564354,3.167463081677755,0.8251482530434926,2.3423148234685263,43279.55859375,52656.19140625,1,1,False,,-8.359444059933573,6.395140129679177,5.426212610989914,2.5549049249418103,6.3176770840073
11,mps,150,-121647.37482863961,401,False,-39.63128123044967,277.09947072307267,0.15158532878228773,2.851832947731018,0.6964408493041992,2.1553920896848044,78713.03125,95357.8515625,1,1,False,,-13.761029404399157,9.366618423103015,5.120707771821214,2.9276987487855317,6.335909125016769
12,mps,4,19.885205568553054,0,True,4.768212407827377,2.619990646839142,0.0022867916559334844,2.326808214187622,0.38542357832193375,1.941384643316269,232.64845275878906,362.3358154296875,1,1,False,,1.6127919830098938,0.13745041850798898,3.8569825332800742,0.03643233851461632,0.16961491599795409
13,mps,5,59.41637919361355,0,True,5.564270114898681,3.41213698387146,0.002746648876927793,2.140072822570801,0.3393087267875671,1.8007640361785888,360.6246643066406,525.740966796875,1,1,False,,1.837155490261009,0.19234500378278288,4.093506605567305,0.059645858871025144,0.17799975001253188
14,mps,150,-90490.15798002454,300,False,-21.429586195548374,173.01266011615596,0.21977610763628036,2.1951293110847474,0.45639911890029905,1.7387301937739055,73757.4140625,84362.5,1,1,False,,-10.030409878765335,8.509026907734112,7.1254538041317526,3.6313255234163475,6.29847604202223
15,mps,4,27.15317499464174,0,True,1.9747036695480347,4.133875608444214,0.0022313474328257143,1.9412591457366943,0.32402297854423523,1.6172361373901367,348.1619873046875,420.37762451171875,1,1,False,,2.025659039612533,0.17487503045082117,4.234992989463856,0.052640374853212206,0.16562416599481367
16,mps,4,27.607807418963407,0,True,1.2584028840065002,4.134682655334473,0.0028616375057026744,1.809217244386673,0.3205995485186577,1.4886176884174347,360.6339416503906,475.66046142578125,1,1,False,,2.0257629128526804,0.1759752963723109,4.218967044449364,0.053911539648545385,0.15081174997612834
17,mps,4,29.983205157709946,0,True,2.169022649526596,3.5997158885002136,0.0028208596631884575,1.6483898162841797,0.3250386640429497,1.3233511447906494,342.6922607421875,401.4325866699219,1,1,False,,1.8897350318955148,0.16916744045691526,4.055116280476028,0.055519994812208893,0.151020207995316
