episode,device,scenario,n_ticks,raw_reward,shaped_reward_total,buildings_destroyed,contained,policy_loss,value_loss,classification_loss,entropy,resource_entropy,zone_entropy,shaping_mean_abs,value_grad_norm,other_grad_norm,wall_time_s
1,mps,stone_canyon,150,-139349.41464522734,-139349.16284522737,476,False,-264874.8559781901,3472911663.87,0.0661415872288247,4.760411176681519,1.2966386310259501,3.4637725496292116,0.09603333333333336,102076568.0,190307184.0,14.807525415992131
2,mps,stone_canyon,150,-83571.89373437798,-83571.62033437799,287,False,9.830064082145691,4.486816821098327,0.05170520835866531,4.75555645942688,1.295508433977763,3.4600480540593463,0.08990000000000001,4250.955078125,8058.72021484375,17.107447957998374
3,mps,single_training,16,-199.33603566018104,-199.33603566018104,0,True,10.759648621082306,5.182714134454727,0.011796942388173193,4.799978971481323,1.3347034454345703,3.465275526046753,0.0,297.9829406738281,384.0101318359375,1.939735624997411
4,mps,stone_canyon,150,-134727.56634948897,-134727.308949489,462,False,1.1429110470910866,0.6320414483741721,0.0616727246530354,4.758351017634074,1.301623878479004,3.456727145512899,0.10729466666666668,1238.6622314453125,3053.68701171875,18.90550345898373
5,mps,single_training,150,-134187.35916739397,-134186.95516739396,434,False,-0.37726132486015557,0.3658472325495222,0.093617778091381,4.752162806193033,1.304266783396403,3.4478960386912028,0.07142933333333333,595.0101318359375,1789.9583740234375,18.61938350001583
6,mps,single_training,150,-145101.525641178,-145101.48304117803,471,False,-2.003261091982325,0.3392635475450273,0.07816497675143182,4.75139843304952,1.3091854278246562,3.4422129853566488,0.020516,611.3973388671875,1026.944580078125,19.155463625007542
7,mps,single_training,150,-129376.23874955898,-129376.06774955895,423,False,-0.14921831116080284,0.03772092117879462,0.07069677585735917,4.749867118199666,1.31232745329539,3.437539671262105,0.05565466666666667,86.29872131347656,250.4855499267578,17.85070291699958
8,mps,single_training,150,-141926.15435609105,-141926.05555609104,459,False,-2.783580922484398,0.6590990688810962,0.06398914616554975,4.745250784556071,1.3158518393834433,3.429398938814799,0.05611466666666666,1676.976806640625,3838.327392578125,47.608900708000874
9,mps,single_training,150,-102316.72000587352,-102316.49480587352,340,False,1.870116812714065,0.22891817120507463,0.09659357480704785,4.742934401830038,1.3179418929417928,3.4249925057093304,0.074408,622.4044799804688,1365.68994140625,49.75855416699778
10,mps,single_training,150,-113127.72025134253,-113127.30385134256,368,False,-0.7100855930397908,0.5123381154954404,0.08432969594995181,4.737642265955607,1.3200993506113687,3.4175428771972656,0.13887466666666667,1034.694580078125,2640.827880859375,47.92419950000476
