episode,device,ignition_row,ignition_col,n_ticks,reward,buildings_destroyed,contained,policy_loss,value_loss,classification_loss,aux_zone_loss,entropy,resource_entropy,zone_entropy,value_grad_norm,other_grad_norm,wall_time_s
1,mps,265,324,150,-90563.04783208507,297,False,-112049.43823445638,1408445057.8108332,0.02170749367059519,2.2648023335138956,3.0037146099408467,1.3337185311317443,1.6699960780143739,19164172.0,143617488.0,12.46713499998441
2,mps,175,323,150,-29732.151858587462,117,False,5.566079195936521,3.465917159045736,0.02029974218768378,4.582854838371277,3.2556993261973064,1.3393757232030232,1.9163236021995544,1283.709716796875,10544.2236328125,10.968371583963744
3,mps,109,571,150,-32614.281589471433,102,False,1.9093640877803166,0.7286920904102347,0.027002993519417942,5.117323673566182,3.3323464568456016,1.3408895166714987,1.9914569505055746,458.5079345703125,5055.40283203125,11.056936667009722
4,mps,133,504,150,-118745.65233566938,410,False,-8.01591970761617,5.424043372869492,0.02867974610688786,2.6750830586751304,3.426775182088216,1.3422695326805114,2.0845056533813477,1262.232421875,2600.667236328125,10.66661545803072
5,mps,7,494,144,-41044.206537504775,129,True,2.023748809006065,0.7941187962467464,0.017315085353200428,5.319546540578206,3.462549664907985,1.3543167271547847,2.1082329294747777,531.2157592773438,5769.3037109375,10.480905000003986
6,mps,171,121,150,-2327.7608355653706,0,False,4.133687296420491,1.7602623399591482,0.02599904558310906,3.176067217985789,3.3774166822433473,1.3468958457310996,2.0305208404858908,804.0669555664062,3893.2861328125,11.692990707990248
7,mps,252,514,150,-144823.53653130314,389,False,-7.140090918342272,4.677133230598023,0.029503804597382745,8.96617289543152,3.5127179511388142,1.347707580725352,2.165010369618734,1081.5213623046875,3758.03173828125,11.538854041020386
8,mps,86,411,150,-39787.38863612643,154,False,1.2891628718857342,0.3176217632638391,0.03349933062059184,2.4322636183102926,3.4518496290842693,1.3493206556638082,2.1025289702415466,327.6955261230469,4150.07763671875,11.597484500030987
9,mps,272,208,87,-51668.2973471878,154,True,1.4711907337280525,1.4927280125564135,0.012523401507187164,8.084580295387356,3.631587880781327,1.3664278011212403,2.2651600919920822,313.8051452636719,9924.060546875,6.419978791032918
10,mps,116,355,5,60.95647737118918,0,True,0.11952713988721371,0.004983265289047268,0.004806490987539292,1.1811609745025635,3.5511139392852784,1.3042739391326905,2.2468400478363035,0.5727216601371765,62.39553451538086,0.3816009580041282
11,mps,133,478,150,-61931.75020250636,216,False,-0.5704082732104386,0.14589335584196345,0.023451039084854224,2.5756365259488425,3.5969242668151855,1.352092821598053,2.2448314412434898,122.06575012207031,2852.305419921875,11.769972208014224
12,mps,76,535,150,-133456.4117736128,456,False,-5.329403693055113,2.8232204260039726,0.03763549588775883,2.8525049630800883,3.1844736258188884,1.352228240966797,1.8322453926006952,902.2507934570312,8647.083984375,11.250238084001467
13,mps,99,381,3,34.63155040085431,0,True,0.4542418618996938,0.0367895532399416,0.0035126355942338705,1.2052172025044758,3.237844785054525,1.307685097058614,1.9301596879959106,1.4069961309432983,11.3869047164917,0.2660911660059355
14,mps,223,183,150,-169930.36638678907,564,False,-6.916281988620758,4.5402705599398665,0.04065967302614202,7.268541997273763,3.318899261156718,1.3538117090861002,1.9650875441233318,1296.9195556640625,4412.9345703125,10.449531457968988
15,mps,98,388,10,-41.41019420540559,0,True,1.0581525951623916,0.1248994905501604,0.0032286973437294364,1.1536670088768006,3.1978276014328,1.326931893825531,1.8708957076072692,6.460861682891846,127.69561767578125,0.7181561249890365
16,mps,290,243,66,-15613.109662182878,43,True,2.6465584035172607,1.010091167812017,0.010371291050405212,10.884469436876701,3.336458693851124,1.3694781372041414,1.9669805458097747,182.47532653808594,3422.22607421875,4.663639124948531
17,mps,204,512,108,-56404.73280570217,180,True,2.0592283674136356,1.3753264788074713,0.017536763573944982,4.991565337887517,3.5070278225121676,1.3684273991319869,2.138600431106709,499.9586486816406,5071.5205078125,7.765414500026964
18,mps,267,254,150,-147804.73637572306,457,False,-3.4131746942549945,1.8670998957213283,0.03949902474957829,5.422961349487305,3.687157459259033,1.3537072642644246,2.333450198173523,387.3549499511719,9599.7158203125,12.000353374984115
19,mps,197,336,13,-2263.170579055364,8,True,1.4809693003144975,0.23457931264769846,0.002967660046684054,2.987574632351215,3.716696464098417,1.338342052239638,2.3783544026888332,8.155830383300781,777.337158203125,1.0156912920065224
20,mps,174,391,150,-51908.6167814125,173,False,1.5909308563669522,0.3012913684795543,0.042477466125662125,1.72400115331014,3.4450707467397055,1.353141750494639,2.091928994655609,393.5475158691406,1319.2266845703125,10.590064332995098
21,mps,272,524,150,-131100.04170512778,351,False,0.2421226985255877,2.3918097712898936,0.04553203294053674,6.9656535879770916,3.761322196324666,1.3526303267478943,2.4086918783187867,631.5665283203125,7590.80615234375,11.62171874998603
22,mps,123,407,150,-42119.76085116382,156,False,3.298985128104687,1.22290448275938,0.09590796446194873,2.8034744477272033,3.5640097951889036,1.3523530515034994,2.2116567595799763,816.5684814453125,5022.74560546875,11.356981417047791
23,mps,280,199,27,-5199.3499630784745,15,True,2.069020622858295,0.46570803861013027,0.0035117512323065763,3.165164514824196,3.599370082219442,1.3575998986208881,2.2417701791833946,19.673397064208984,595.0350952148438,1.9235355830169283
24,mps,277,538,150,-151863.8839811786,417,False,-2.960404897828897,3.265642461885194,0.044685151238615314,4.2570301596323645,3.45598779519399,1.3494925252596537,2.1064952635765075,266.7816467285156,4709.71044921875,10.746103000012226
25,mps,231,352,15,-2204.5410438459626,7,True,0.9397435044869781,0.20091621962692444,0.0015401783670919637,2.511495351791382,3.4673423449198406,1.3317716519037883,2.135570685068766,6.637729644775391,50.43346405029297,1.0625930420355871
26,mps,19,501,98,-25303.366467153326,76,True,2.875626724593493,1.41971951934547,0.02218680542998244,8.039699019217977,3.2693714511637784,1.3648223925609977,1.9045490573863595,466.2951354980469,3829.277587890625,6.953111791051924
27,mps,266,231,5,71.16995641500415,0,True,-0.19256235361099244,0.007403956865891815,0.0010713794617913663,1.382521915435791,3.296282243728638,1.2841102600097656,2.012171983718872,1.0430899858474731,42.63376998901367,0.3550293329753913
