episode,device,ignition_row,ignition_col,n_ticks,reward,buildings_destroyed,contained,policy_loss,value_loss,classification_loss,aux_zone_loss,entropy,resource_entropy,zone_entropy,value_grad_norm,other_grad_norm,wall_time_s
28,mps,10,584,19,-10601.488049187505,30,True,0.3583926770247911,0.22593071532901376,0.0032507739930511697,8.935228498358475,3.2157912128850032,1.3373087958285683,1.8784824296047813,4.724889755249023,473.494384765625,1.322169249993749
29,mps,204,340,104,-21267.633247189377,68,True,2.9292088489119825,1.2958356862431033,0.012633886078569608,4.9821512424028835,3.060436127277521,1.3649443708933318,1.6954917644078915,475.8467712402344,3076.600341796875,7.1668504170374945
30,mps,45,473,52,-9374.480826889276,31,True,1.9044714427123277,0.7737933913454071,0.011546363633197661,11.846887386762178,3.1371189722648034,1.3641248895571783,1.7729940597827618,84.99407196044922,2515.072509765625,3.5854216670268215
31,mps,23,462,28,-7889.923040321908,24,True,1.0857110409332174,0.3087378233446673,0.0045510273110786715,11.465844665254865,3.1857204352106367,1.3528293030602592,1.8328911108630044,11.957634925842285,2153.3095703125,1.9252557500149123
32,mps,308,325,40,-9007.28008305187,30,True,1.713496438227594,0.5213526557519799,0.004173133237054571,2.1906798005104067,3.224780595302582,1.3594888746738434,1.8652917087078094,32.89240264892578,444.7480163574219,2.7395803339895792
33,mps,190,389,150,-124158.15116798694,408,False,-3.2009286882728336,1.326694966321423,0.036745738574148465,3.4412968667348225,3.120580328305562,1.3413273652394613,1.7792529567082722,535.3277587890625,7098.51123046875,10.295491208031308
34,mps,13,345,150,-8422.573563348316,27,False,2.347648873378833,0.9577505975453339,0.13593754350052525,14.918676147460937,3.0766797192891437,1.3413195610046387,1.7353601678212485,515.977783203125,15138.2802734375,10.908426790963858
35,mps,56,492,150,-161972.58438058328,547,False,-4.866311151981353,2.256190084417661,0.0494538667332381,7.572491811116536,3.144210834503174,1.3415264979998271,1.8026843349138895,801.228759765625,5633.2509765625,11.393890667008236
36,mps,260,478,10,-1105.2424796217972,3,True,0.13927737697958947,0.03977617484342773,0.003728987695649266,2.7225074768066406,3.4583449602127074,1.3081706881523132,2.150174283981323,0.6487967371940613,139.7545166015625,0.7720679579651915
37,mps,258,168,150,-43891.088979603795,137,False,0.7621955470802884,0.21490540206520867,0.019007960984793803,3.2431628028551738,3.3108427731196084,1.3411424573262531,1.9697003197669982,195.39898681640625,759.3366088867188,11.059997333970387
38,mps,302,180,8,-28.93802390697377,0,True,-0.2990601481869817,0.01565079456759122,0.003912366257281974,2.1569002866744995,3.540735274553299,1.287784069776535,2.2529512345790863,1.9831055402755737,159.61720275878906,0.594461707980372
39,mps,208,489,32,-3022.9074840846615,9,True,1.7129679499194026,0.3383708684650628,0.007764739450067282,1.6806444749236107,3.6252376437187195,1.3533560447394848,2.271881602704525,18.46952247619629,491.67333984375,2.287192708987277
40,mps,193,310,150,-41096.32532362604,157,False,0.7173812874608363,0.2033988644537654,0.03516284946352243,3.622164004643758,3.508648961385091,1.344254314104716,2.164394641717275,124.17499542236328,3546.970458984375,11.284452125022653
41,mps,197,311,150,-64235.79664227822,240,False,-0.7792285727957885,0.15142074599881503,0.025344285232325396,3.922751770019531,3.494224313100179,1.3452326504389445,2.1489916610717774,166.32839965820312,4685.626953125,11.781649374985136
42,mps,182,480,10,-590.4515740700641,2,True,0.07074354006908834,0.017212956361709074,0.005841983854770661,1.696493887901306,3.622261071205139,1.304118263721466,2.318142819404602,0.30516311526298523,94.10208129882812,0.7889379580155946
43,mps,307,479,8,-90.55124639230723,0,True,-0.10124290687963367,0.010972042227876955,0.004508494748733938,4.673720300197601,3.636070340871811,1.3017976731061935,2.334272623062134,0.17524591088294983,320.3974914550781,0.5919541250332259
44,mps,111,356,150,-9330.327442675954,29,False,2.659845709304015,0.7157608132727727,0.04657375236662726,4.127864974339803,3.723037085533142,1.346960731347402,2.3760763454437255,445.32574462890625,8390.140625,11.483797000022605
