episode,device,n_ticks,reward,buildings_destroyed,contained,policy_loss,value_loss,classification_loss,entropy,value_grad_norm,other_grad_norm,wall_time_s
1,mps,150,-96560.79514730968,314,False,-184804.65603027344,2059258984.804375,7.451031093597412,4.334532551765442,73476112.0,138951728.0,7.103440833001514
2,mps,150,-148961.85228207256,481,False,-2.7186522534365456,2.5031539527094187,7.281661535898844,4.3990974505742395,601.3058471679688,9585.6328125,6.885517624992644
3,mps,16,-252.75725252818322,0,True,17.615276277065277,13.709742486476898,6.27974745631218,4.739768475294113,531.3568725585938,1829.4197998046875,0.6631888749980135
4,mps,150,-142530.52118101204,466,False,5.024494541461269,2.6952839021878026,5.079103676478068,4.413984934488933,3410.638671875,11280.0615234375,5.850440708003589
5,mps,150,-94195.78261743003,308,False,8.41904400507609,4.792959567705791,3.8732936716079713,4.435897884368896,4687.57421875,12639.2783203125,6.264427749993047
6,mps,150,-132481.56485749714,433,False,3.5345281377978,2.237218165587498,2.6768446413675946,4.439974646568299,2408.790283203125,9283.48828125,6.064904749990092
7,mps,150,-126386.20640195221,422,False,2.8227205446859203,1.2641732101068677,1.587101281483968,4.440339035987854,1646.58056640625,7377.7255859375,6.043624333004118
8,mps,150,-126284.04537891383,413,False,1.063075485204657,0.9415402132021214,0.7840715674559275,4.43967644850413,634.7347412109375,4194.9052734375,6.159078458993463
9,mps,150,-104368.27615146308,342,False,2.2025082869579395,1.0553878645122101,0.3807675137122472,4.441413154602051,1290.4825439453125,2717.409912109375,6.235017125000013
10,mps,150,-95128.09327777312,311,False,0.7065648004288475,0.8030503726437503,0.21953831324974696,4.447829778989156,807.0194091796875,1706.7427978515625,6.880006666993722
11,mps,150,-139748.24207940418,458,False,-3.915670777956645,1.7046485551074146,0.175653621951739,4.457177677154541,1661.1456298828125,2853.908203125,5.9118099579936825
12,mps,150,-98544.31401599053,319,False,-0.11490944765430565,0.49545957370029203,0.15117341190576553,4.460505757331848,375.63836669921875,754.8716430664062,6.952611042011995
13,mps,5,-13.19922138036452,0,True,8.562078475952148,3.731635808944702,0.07898686230182647,4.813675498962402,44.67928695678711,126.86378479003906,0.2018177919962909
14,mps,150,-111127.13692172104,366,False,-1.193227614586552,0.816866756180146,0.1554484682281812,4.449818522135416,233.7236785888672,546.9633178710938,7.00001054200402
15,mps,150,-108637.69489349745,351,False,-0.754378367420286,0.3377969488483844,0.13515516777833303,4.447449475924174,108.1697998046875,310.3328857421875,6.385979875005432
16,mps,150,-98055.8382337921,324,False,0.9725722577298681,0.5095920776193573,0.13436835271616776,4.450162401199341,734.473876953125,1238.221923828125,6.004514875006862
17,mps,150,-104506.33093375067,339,False,0.26611055973917247,0.6180266239828052,0.1395041395475467,4.456350221633911,632.506591796875,1163.0780029296875,6.684060625004349
18,mps,150,-110018.15348110229,358,False,-0.3156626212472717,0.7362175981692174,0.1496097258478403,4.448532611529032,565.4295654296875,1032.1676025390625,6.063559000001987
19,mps,150,-136850.23035839573,457,False,-3.123217632986295,1.5591518593509235,0.1308887687822183,4.440866495768229,648.6951293945312,1140.6024169921875,6.044467790998169
20,mps,20,-240.78209310222545,0,True,9.874125289916993,4.2939518094062805,0.03903252501040697,4.785173320770264,206.59266662597656,379.2467346191406,0.7790403749968391
21,mps,150,-144103.7601357237,465,False,-4.029769504070282,1.6646152020517426,0.12293349641064803,4.444583924611409,1726.015625,2819.27587890625,6.5298466669919435
22,mps,150,-114496.54638085327,376,False,-0.7965991649652521,0.5072273175450754,0.13609374272326627,4.449383594195048,201.699951171875,430.6573181152344,6.09480325000186
23,mps,150,-94827.71164238905,307,False,1.5610581636925538,0.6818069067954639,0.12584677470227082,4.458941311836242,1150.782958984375,1905.0726318359375,6.267021957988618
24,mps,150,-132605.26966036003,438,False,-2.2033403837059935,0.8182778390649279,0.2118990760544936,4.464825580914815,501.4738464355469,807.7054443359375,6.127499333000742
25,mps,150,-105669.71863329932,345,False,0.31596454707284766,0.42187548346899956,0.13967618212103844,4.469233994483948,96.46871185302734,323.50543212890625,6.2081802080065245
26,mps,16,-262.80309680312047,0,True,9.924653947353363,4.269896686077118,0.03383553586900234,4.7559216022491455,183.22384643554688,360.89630126953125,0.5932860000029905
27,mps,150,-93262.61163838593,305,False,1.711485564764589,0.6777391412509921,0.12331056175132593,4.464865347544352,989.4280395507812,1669.3199462890625,6.187237792008091
28,mps,150,-116132.06139549297,379,False,-0.48609937220811844,0.5441304443955111,0.12601868090530235,4.450989918708801,193.67974853515625,487.2967834472656,5.930198582995217
