episode,device,scenario,n_ticks,reward,buildings_destroyed,contained,policy_loss,value_loss,classification_loss,entropy,resource_entropy,zone_entropy,value_grad_norm,other_grad_norm,wall_time_s
1,mps,topanga_ridge,150,-14249.559353418019,47,False,-28506.412473958335,47287494.96,0.10840632255499562,4.442243599891663,1.296846214135488,3.1453973849614463,14329039.0,29505612.0,6.633456000010483
2,mps,sullivan_canyon,150,-49769.75089289315,188,False,-33.72530998984973,66.98259627009432,0.07941432571038604,4.429927538235982,1.289715522925059,3.1402120049794515,14994.7626953125,25440.05078125,6.722584167000605
3,mps,single_training,4,15.036678925809557,0,True,4.311477839946747,1.2373404502868652,0.014765050262212753,4.463375449180603,1.3095350861549377,3.1538403630256653,45.95771789550781,83.78297424316406,0.20581600000150502
4,mps,sullivan_canyon,150,-48545.01846143071,183,False,5.248417966309935,3.6006600745726063,0.08741695117826263,4.3229577461878455,1.2534553368886312,3.0695024156570434,4333.94921875,9187.42578125,6.137407500005793
5,mps,sullivan_canyon,150,-59673.84170386693,218,False,3.0539861866955955,1.8610911314132772,0.08254451872780919,4.317734847068786,1.253372946580251,3.0643619028727214,2699.79248046875,5995.04638671875,6.877718417003052
6,mps,topanga_ridge,150,-32031.04332974722,115,False,9.129665598074595,4.9466024232407415,0.10882450158397357,4.345501147905986,1.260774241288503,3.084726931254069,5631.5625,9389.1728515625,6.439170541008934
7,mps,stone_canyon,150,-115503.78438997096,400,False,-5.15170949002107,4.525311416770564,0.06327682548513015,4.3848028532663985,1.2706732193628947,3.114129611651103,1754.5660400390625,3675.677978515625,6.293351000000257
8,mps,sullivan_canyon,150,-42911.37584287714,161,False,6.708178650240104,2.690637649286849,0.07597831671436628,4.413815307617187,1.2750895031293232,3.138725821177165,3786.62841796875,6279.166015625,6.032474082981935
9,mps,topanga_ridge,150,-13740.150812648852,46,False,9.872439218362173,5.838264423012734,0.0938726524511973,4.436154541969299,1.2801555577913921,3.1559989929199217,5207.27685546875,8876.2685546875,6.310752582998248
10,mps,topanga_ridge,150,-14821.748655269846,50,False,7.951496615409851,3.8813602482527494,0.10875791581968466,4.443230689366659,1.28330691019694,3.159923793474833,3802.264892578125,6597.46484375,6.105784249986755
11,mps,topanga_ridge,150,-3198.990924624371,3,False,8.108117271761099,3.903602011082694,0.1119985368102789,4.439415980974833,1.2859625299771626,3.153453458150228,3516.42138671875,6311.02587890625,6.092401791975135
12,mps,topanga_ridge,150,-12236.154819262416,39,False,4.545676073034604,1.7931170757176975,0.10687722004950047,4.431331237157186,1.2875961271921794,3.143735095659892,1542.6011962890625,2694.252685546875,6.155983875010861
13,mps,sullivan_canyon,150,-34761.83305082749,126,False,-0.26110884130001066,0.5860357135586673,0.07627626637617747,4.419568874041239,1.2888540236155193,3.1307148440678914,983.1204223632812,2254.87646484375,6.110058624995872
14,mps,stone_canyon,40,-12693.72029371994,47,True,3.499594056047499,0.9946541342549609,0.034976376313716175,4.757821393013001,1.3603835731744767,3.3974378049373626,161.6688232421875,285.483154296875,1.5753667909884825
15,mps,stone_canyon,3,29.48304507463939,0,True,2.029929002126058,0.20794565975666046,0.021112186834216118,4.725639979044597,1.3536311785380046,3.3720088799794516,7.360494613647461,13.773812294006348,0.12995862500974908
16,mps,sullivan_canyon,150,-43050.778560613195,155,False,-3.9016003994472945,1.8075807831235269,0.09416461138054728,4.417300373713175,1.2983901731173197,3.1189101934432983,2792.77685546875,5865.64501953125,6.173572250001598
17,mps,sullivan_canyon,150,-58734.618888326106,208,False,-7.4169096430142725,4.238036502848069,0.09245484584321578,4.422947475115458,1.2998401673634847,3.123107323646545,4336.79638671875,8914.7197265625,5.92772279100609
18,mps,stone_canyon,150,-130655.95918648313,449,False,-15.927345323562623,13.691387372016907,0.07943779258057475,4.425876517295837,1.3003305689493816,3.125545946756999,6604.8037109375,13409.5234375,6.079430791985942
19,mps,topanga_ridge,150,-20753.54383891667,73,False,-0.6128584348348279,1.4668955156312207,0.16520828006789087,4.4333007605870565,1.3019821429252625,3.1313186168670653,1715.38623046875,3542.9755859375,5.821650708996458
20,mps,stone_canyon,150,-99427.4092922285,338,False,-9.884717054367066,6.3758712081114455,0.04145914072791735,4.4469609562555945,1.3037843696276348,3.1431765937805176,5010.9462890625,9915.6533203125,7.113173416990321
21,mps,stone_canyon,150,-88947.69951408452,304,False,-6.72312040011088,2.351428521076838,0.07234229849651456,4.463517659505208,1.30791965564092,3.1555979951222737,2742.821533203125,5083.28076171875,6.67405649999273
22,mps,topanga_ridge,150,-7466.138130552982,21,False,2.506492928365866,1.024022689727523,0.1791723727931579,4.474744180043539,1.3091458113988241,3.165598363876343,408.8160095214844,793.5095825195312,6.35010070897988
23,mps,sullivan_canyon,150,-60164.98198189286,224,False,-3.6022711515426638,0.891191200936834,0.10800940360873938,4.484459813435873,1.3092691349983214,3.175190691947937,1735.6839599609375,3475.348876953125,6.2280623329861555
24,mps,sullivan_canyon,150,-54228.636089879,201,False,-2.616789032394687,0.5650353346786505,0.10615840282912056,4.496913976669312,1.3108455085754394,3.186068449020386,1379.0126953125,2776.103515625,6.08123387498199
25,mps,topanga_ridge,150,-16897.389573192886,57,False,2.69496534151646,0.7595641277312041,0.14802141182124615,4.505965882937113,1.3113604243596395,3.1946054697036743,705.1072998046875,1204.163330078125,5.930129209009465
26,mps,topanga_ridge,150,-19395.30595698347,67,False,2.544579815318187,0.6553389923069578,0.1490225390344858,4.512528858184814,1.311462930838267,3.20106592019399,731.36474609375,1339.645751953125,6.31809158399119
27,mps,single_training,6,-31.91442558095494,0,True,0.9737565318743387,0.048155756356815495,0.01300496980547905,4.62313977877299,1.3244884610176086,3.2986512581507363,8.87686538696289,16.467182159423828,0.2706956670153886
28,mps,stone_canyon,150,-124859.13996471568,426,False,-9.361738514602184,4.458625750112502,0.05195856541395187,4.520213632583618,1.3111991834640504,3.209014458656311,2866.808349609375,4500.8515625,5.597850875026779
29,mps,stone_canyon,150,-102218.76328845012,350,False,-5.484984582513571,1.7220425054983934,0.050952646248042584,4.517832997639974,1.3089418236414592,3.2088911739985146,1663.85302734375,2577.793212890625,6.073390125005972
30,mps,single_training,150,-103203.18695148588,334,False,-6.134837338471164,2.6792258491694825,0.06729093832274279,4.515783513387044,1.3062038389841715,3.2095796791712443,1705.97802734375,2667.756103515625,6.096642666001571
31,mps,single_training,150,-100394.6878337973,326,False,-4.875841569925348,1.7945197339458172,0.07654713826874891,4.515805546442667,1.3036897420883178,3.212115807533264,1252.857666015625,1981.8365478515625,5.820211374986684
32,mps,single_training,150,-106309.5051636025,355,False,-4.977591802875201,1.61647394341795,0.06996653862297535,4.52105670928955,1.3043476700782777,3.2167090463638304,1331.1192626953125,1958.5914306640625,6.8799537909799255
33,mps,stone_canyon,150,-131201.3182543297,450,False,-5.4821269973119096,2.348251743542884,0.06657684152324994,4.524076709747314,1.304861228466034,3.219215512275696,1368.202392578125,2007.950927734375,6.4403002920153085
